Country,Num_Trans
India,56202
Bangladesh,39326
Pakistan,33753
Tanzania,32433
Ghana,29323
Ethiopia,25095
"Yemen, Republic of",24465
Senegal,24441
Uganda,23888
Kenya,23739
Madagascar,22034
Malawi,21639
Nepal,21166
Vietnam,20741
"Burkina Faso",19603
Mali,19031
Mozambique,17979
China,17966
"Congo, Democratic Republic of",17896
"Sri Lanka",17612
Rwanda,17330
Bolivia,16750
Zambia,16163
Niger,15987
Benin,15898
"Kyrgyz Republic",14672
Afghanistan,13706
Guinea,13629
Burundi,13511
Nigeria,13509
Honduras,13302
Mauritania,13256
Nicaragua,13151
Cameroon,12643
"Sierra Leone",12035
"Lao People's Democratic Republic",11869
"Cote d'Ivoire",11328
Haiti,11286
Chad,10744
Indonesia,10738
Tajikistan,10492
Togo,9940
"Bosnia and Herzegovina",9596
Albania,9112
Georgia,8893
Armenia,8610
Lesotho,8011
Moldova,8010
Liberia,7974
"Gambia, The",7926
"Central African Republic",7649
Cambodia,7293
Sudan,6994
"Egypt, Arab Republic of",6964
Guinea-Bissau,6917
Mongolia,6446
Guyana,6183
Azerbaijan,6030
Djibouti,5864
"Congo, Republic of",5847
Somalia,5828
Myanmar,5501
"Cabo Verde",5263
Comoros,4658
Samoa,4295
Bhutan,3741
"Sao Tome and Principe",3734
"St. Lucia",3709
"Papua New Guinea",3695
Kosovo,3581
"Solomon Islands",3529
Uzbekistan,3431
Maldives,3363
Tonga,3340
Grenada,3307
Angola,3161
Africa,2891
Serbia,2814
"St. Vincent and the Grenadines",2671
Eritrea,2391
Dominica,2342
Jordan,2108
Zimbabwe,1895
Turkey,1862
Timor-Leste,1722
Montenegro,1474
"Western Africa",1419
"North Macedonia",1400
Vanuatu,1353
Tunisia,1348
"Equatorial Guinea",1330
"Korea, Republic of",1210
Philippines,1207
Tuvalu,1145
Kiribati,1121
Paraguay,1078
"South Sudan",1044
Caribbean,1016
"Eastern Africa",890
Thailand,826
Ecuador,808
Botswana,803
"Macedonia, former Yugoslav Republic",720
Morocco,674
Iraq,670
Mauritius,666
"Marshall Islands",666
"Pacific Islands",594
"Macedonia, former Yugoslav Republic of",560
"Micronesia, Federated States of",550
"Taiwan, China",544
"El Salvador",539
"Syrian Arab Republic",538
"Central Africa",474
"Dominican Republic",403
"Central Asia",392
"Cape Verde",180
Eswatini,154
Chile,136
Colombia,136
"Costa Rica",136
Fiji,135
"St. Kitts and Nevis",134
"Central America",134
Mekong,122
Swaziland,114
"South Asia",97
Lebanon,69
"Western and Central Africa",57
"Eastern and Southern Africa",42
Turkiye,39
"OECS Countries",2
Ukraine,1
World,1
"South East Asia",1
"Middle East and North Africa",1
